categoria,idiomas,lançamento,titulo
"
				Ação / Aventura / Ficção",: Inglês / Português,01/07/2020,Star Wars 7
"
				Ação / Aventura / Ficção",: Inglês / Português,01/07/2020,Lego Star Wars - A Ameaca Padawan
"
				Ação / Aventura / Ficção",: Inglês / Português,01/07/2020,Rogue One - Uma História Star Wars - Legendado
"
				Ação / Aventura / Ficção",: Inglês / Português,01/07/2020,Star Wars - The Clone Wars - Filme
"
				Ação / Aventura / Ficção",: Inglês / Português,01/07/2020,Star Wars Rebels
"
				Ação / Aventura / Ficção",: Inglês / Português,01/07/2020,Star Wars - O Despertar da Força Dublado
"
				Ação / Aventura / Ficção",: Inglês / Português,01/07/2020,LEGO Star Wars: As Crônicas de Yoda
"
				Ação / Aventura / Ficção",: Inglês / Português,01/07/2020,Star Wars - O Despertar da Força - Legendado
"
				Ação / Aventura / Ficção",: Inglês / Português,01/07/2020,Rogue One - Uma História Star Wars
"
				Animação / Aventura",: Português,01/07/2020,Lego Star Wars - O Império Contra-Ataca
"
				Animação / Aventura",: Português,01/07/2020,Star Wars 6 - O Retorno de Jedi
"
				Animação / Aventura",: Português,01/07/2020,Star Wars 5 : O Império Contra-ataca
"
				Animação / Aventura",: Português,01/07/2020,Star Wars 4 : Uma Nova Esperança
"
				Animação / Aventura",: Português,01/07/2020,Star Wars: Episódio 3 - A Vingança dos Sith
"
				Animação / Aventura",: Português,01/07/2020,Star Wars: Episódio 2 - Ataque dos Clones
"
				Animação / Aventura",: Português,01/07/2020,Star Wars: Episódio 1 - A Ameaça Fantasma
